,dwt_type,random_seed,num_estimators,accuracy,recall,precision,f1_score,matthews_corr_coef
0,db4,1,15,0.9896729776247849,0.8888888888888888,0.9090909090909091,0.8988764044943819,0.8934984090820747
1,db4,21,15,0.9931153184165232,0.9247311827956989,0.945054945054945,0.9347826086956522,0.9312102136904347
2,db4,41,15,0.9890992541594952,0.8596491228070176,0.9702970297029703,0.9116279069767441,0.9077276084989618
3,db4,61,15,0.9913941480206541,0.9183673469387755,0.9278350515463918,0.923076923076923,0.91853271668075
4,db4,81,15,0.9913941480206541,0.9223300970873787,0.9313725490196079,0.9268292682926829,0.9222699939267577
5,db4,101,15,0.9879518072289156,0.8725490196078431,0.9175257731958762,0.8944723618090452,0.8884032721449648
6,db4,121,15,0.9908204245553643,0.9105691056910569,0.9572649572649573,0.9333333333333333,0.928742263930587
7,db4,141,15,0.9931153184165232,0.9652173913043478,0.9327731092436975,0.9487179487179487,0.9451877571486781
8,db4,161,15,0.9873780837636259,0.8247422680412371,0.9411764705882353,0.879120879120879,0.8746106781004654
9,db4,181,15,0.9839357429718876,0.8275862068965517,0.9230769230769231,0.8727272727272727,0.8656490425184101
10,db4,201,15,0.9879518072289156,0.89,0.898989898989899,0.8944723618090452,0.88809634043968
11,db4,221,15,0.9879518072289156,0.8666666666666667,0.9541284403669725,0.9082969432314412,0.9030591073988866
12,db4,241,15,0.9902467010900746,0.9166666666666666,0.9252336448598131,0.9209302325581395,0.9157444152337519
13,db4,261,15,0.9873780837636259,0.8348623853211009,0.9578947368421052,0.892156862745098,0.8878476628465363
14,db4,281,15,0.9896729776247849,0.8913043478260869,0.9111111111111111,0.9010989010989011,0.8957118592292623
15,db4,301,15,0.9908204245553643,0.9009009009009009,0.9523809523809523,0.925925925925926,0.9214410413150529
16,db4,321,15,0.9913941480206541,0.883495145631068,0.9680851063829787,0.9238578680203046,0.9203866582575896
17,db4,341,15,0.9845094664371773,0.8376068376068376,0.9245283018867925,0.8789237668161435,0.8718817822084409
18,db4,361,15,0.9879518072289156,0.8586956521739131,0.9080459770114943,0.88268156424581,0.8767167286910944
19,db4,381,15,0.9885255306942053,0.9245283018867925,0.8909090909090909,0.9074074074074073,0.901469112553607
20,db4,401,15,0.9919678714859438,0.9090909090909091,0.9615384615384616,0.9345794392523366,0.9307195770034608
21,db4,421,15,0.993689041881813,0.9578947368421052,0.9285714285714286,0.9430051813471502,0.9397928551410426
22,db4,441,15,0.9913941480206541,0.908256880733945,0.9519230769230769,0.9295774647887324,0.9252864217688062
23,db4,461,15,0.9908204245553643,0.926605504587156,0.926605504587156,0.926605504587156,0.9217095437548426
24,db4,481,15,0.9890992541594952,0.9074074074074074,0.9158878504672897,0.9116279069767442,0.9058305481412965
25,db4,501,15,0.9873780837636259,0.8796296296296297,0.9134615384615384,0.8962264150943395,0.8896888998592409
26,db4,521,15,0.9885255306942053,0.8761904761904762,0.9292929292929293,0.9019607843137255,0.8963099666700642
27,db4,541,15,0.9890992541594952,0.9099099099099099,0.9181818181818182,0.914027149321267,0.908218579991109
28,db4,561,15,0.9902467010900746,0.9009009009009009,0.9433962264150944,0.9216589861751152,0.9167383183933846
29,db4,581,15,0.9885255306942053,0.8936170212765957,0.8936170212765957,0.8936170212765957,0.8875527398939396
30,db4,601,15,0.9890992541594952,0.845360824742268,0.9534883720930233,0.8961748633879781,0.8922409868042609
31,db4,621,15,0.9896729776247849,0.8823529411764706,0.9375,0.9090909090909091,0.9040884542735048
32,db4,641,15,0.9856569133677567,0.8653846153846154,0.8910891089108911,0.878048780487805,0.8705361182335998
33,db4,661,15,0.9908204245553643,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9189255189255189
34,db4,681,15,0.9873780837636259,0.8823529411764706,0.9,0.8910891089108911,0.8844395070655713
35,db4,701,15,0.9908204245553643,0.8709677419354839,0.9529411764705882,0.9101123595505618,0.9063027434561447
36,db4,721,15,0.9902467010900746,0.8709677419354839,0.9418604651162791,0.9050279329608939,0.9006610648982841
37,db4,741,15,0.9873780837636259,0.8672566371681416,0.9333333333333333,0.8990825688073395,0.893044659686269
38,db4,761,15,0.9913941480206541,0.9120879120879121,0.9222222222222223,0.9171270718232044,0.912604135668063
39,db4,781,15,0.9931153184165232,0.9292929292929293,0.9484536082474226,0.9387755102040816,0.9351831581046036
40,db4,801,15,0.9879518072289156,0.8484848484848485,0.9333333333333333,0.888888888888889,0.8836551842420582
41,db4,821,15,0.9919678714859438,0.9245283018867925,0.9423076923076923,0.9333333333333333,0.9291079538585549
42,db4,841,15,0.9896729776247849,0.8990825688073395,0.9333333333333333,0.9158878504672897,0.9105692378099487
43,db4,861,15,0.9896729776247849,0.9,0.9339622641509434,0.9166666666666666,0.911341692967426
44,db4,881,15,0.9896729776247849,0.8962264150943396,0.9313725490196079,0.9134615384615385,0.9081624727796942
45,db4,901,15,0.9885255306942053,0.8651685393258427,0.9058823529411765,0.8850574712643678,0.8792795966733455
46,db4,921,15,0.9896729776247849,0.8737864077669902,0.9473684210526315,0.909090909090909,0.9044559958157926
47,db4,941,15,0.9879518072289156,0.9038461538461539,0.8952380952380953,0.8995215311004785,0.8931249558161576
48,db4,961,15,0.9919678714859438,0.9247311827956989,0.9247311827956989,0.9247311827956989,0.9204887585532747
49,db4,981,15,0.985083189902467,0.8571428571428571,0.9056603773584906,0.8807339449541285,0.8731607889337402
50,db4,1001,15,0.9913941480206541,0.89,0.956989247311828,0.922279792746114,0.9184081168343439
51,db4,1021,15,0.9902467010900746,0.8728813559322034,0.9809523809523809,0.9237668161434978,0.9203616518268484
52,db4,1041,15,0.9885255306942053,0.8942307692307693,0.9117647058823529,0.9029126213592232,0.8968634170514225
53,db4,1061,15,0.9885255306942053,0.8942307692307693,0.9117647058823529,0.9029126213592232,0.8968634170514225
54,db4,1081,15,0.9868043602983362,0.8771929824561403,0.9174311926605505,0.8968609865470852,0.890071418907382
55,db4,1101,15,0.985083189902467,0.8020833333333334,0.9166666666666666,0.8555555555555556,0.8498292493747344
56,db4,1121,15,0.985083189902467,0.8198198198198198,0.9381443298969072,0.875,0.8693351300584415
57,db4,1141,15,0.9919678714859438,0.9174311926605505,0.9523809523809523,0.9345794392523364,0.9304868150238703
58,db4,1161,15,0.9890992541594952,0.8673469387755102,0.9340659340659341,0.8994708994708994,0.894402389399739
59,db4,1181,15,0.9885255306942053,0.8828828828828829,0.9333333333333333,0.9074074074074073,0.9016916271306373
60,db4,1201,15,0.9908204245553643,0.8918918918918919,0.9611650485436893,0.9252336448598131,0.9210816536268107
61,db4,1221,15,0.9879518072289156,0.918918918918919,0.8947368421052632,0.9066666666666667,0.9003196033496943
62,db4,1241,15,0.9890992541594952,0.918918918918919,0.9107142857142857,0.914798206278027,0.9089859002972176
63,db4,1261,15,0.9913941480206541,0.954954954954955,0.9137931034482759,0.9339207048458151,0.9295784792189188
64,db4,1281,15,0.9873780837636259,0.8867924528301887,0.9038461538461539,0.8952380952380953,0.8885688672179526
65,db4,1301,15,0.9845094664371773,0.84375,0.9391304347826087,0.888888888888889,0.8820479230582466
66,db4,1321,15,0.9948364888123924,0.9259259259259259,0.9900990099009901,0.9569377990430621,0.9548007891081671
67,db4,1341,15,0.9954102122776821,0.9519230769230769,0.9705882352941176,0.9611650485436893,0.9587773103884774
68,db4,1361,15,0.9896729776247849,0.8942307692307693,0.93,0.911764705882353,0.9064790883640649
69,db4,1381,15,0.9890992541594952,0.8846153846153846,0.9292929292929293,0.9064039408866995,0.9009284297953708
70,db4,1401,15,0.9908204245553643,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.9212142733812448
71,db4,1421,15,0.9902467010900746,0.956989247311828,0.8725490196078431,0.9128205128205128,0.9087529411147203
72,db4,1441,15,0.9913941480206541,0.908256880733945,0.9519230769230769,0.9295774647887324,0.9252864217688062
73,db4,1461,15,0.985083189902467,0.8205128205128205,0.9504950495049505,0.8807339449541284,0.8755090693742371
74,db4,1481,15,0.9913941480206541,0.90625,0.9354838709677419,0.9206349206349206,0.9162155812208103
75,db4,1501,15,0.9890992541594952,0.89,0.9175257731958762,0.9035532994923858,0.8978948506035425
76,db4,1521,15,0.9890992541594952,0.8666666666666667,0.9479166666666666,0.9054726368159204,0.9007182004881382
77,db4,1541,15,0.9896729776247849,0.8839285714285714,0.9519230769230769,0.9166666666666665,0.911881064521599
78,db4,1561,15,0.9925415949512335,0.9375,0.9278350515463918,0.9326424870466321,0.9287088016263542
79,db4,1581,15,0.9896729776247849,0.8627450980392157,0.9565217391304348,0.9072164948453608,0.9031100295336691
80,db4,1601,15,0.9885255306942053,0.8932038834951457,0.9108910891089109,0.9019607843137256,0.8959161371622147
81,db4,1621,15,0.9908204245553643,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9024215313454026
82,db4,1641,15,0.9890992541594952,0.9009009009009009,0.9259259259259259,0.91324200913242,0.9075243913142161
83,db4,1661,15,0.9919678714859438,0.9042553191489362,0.9444444444444444,0.9239130434782609,0.9199175956773696
84,db4,1681,15,0.9868043602983362,0.8849557522123894,0.9090909090909091,0.8968609865470851,0.8899055346695577
85,db4,1701,15,0.9879518072289156,0.8709677419354839,0.9,0.8852459016393444,0.8790214214884207
86,db4,1721,15,0.9885255306942053,0.9101123595505618,0.8709677419354839,0.8901098901098902,0.8842974754400592
87,db4,1741,15,0.9908204245553643,0.9230769230769231,0.9391304347826087,0.9310344827586208,0.9261573459355341
88,db4,1761,15,0.9896729776247849,0.9026548672566371,0.9357798165137615,0.918918918918919,0.9135752875230749
89,db4,1781,15,0.9873780837636259,0.8252427184466019,0.9550561797752809,0.8854166666666667,0.8814019627418431
90,db4,1801,15,0.9913941480206541,0.8990825688073395,0.9607843137254902,0.9289099526066351,0.9249119417722794
91,db4,1821,15,0.9902467010900746,0.946236559139785,0.88,0.911917098445596,0.9074308262938935
92,db4,1841,15,0.9948364888123924,0.9080459770114943,0.9875,0.9461077844311377,0.9443165571024985
93,db4,1861,15,0.9913941480206541,0.875,0.978494623655914,0.9238578680203046,0.9209258690368776
94,db4,1881,15,0.9908204245553643,0.9345794392523364,0.9174311926605505,0.925925925925926,0.9210782796462861
95,db4,1901,15,0.9856569133677567,0.8165137614678899,0.9468085106382979,0.8768472906403939,0.8719626954444057
96,db4,1921,15,0.9902467010900746,0.9210526315789473,0.9292035398230089,0.9251101321585904,0.9199041292924666
97,db4,1941,15,0.9931153184165232,0.9363636363636364,0.9537037037037037,0.944954128440367,0.9413275643866998
98,db4,1961,15,0.9868043602983362,0.8245614035087719,0.9690721649484536,0.8909952606635071,0.8872870144261239
99,db4,1981,15,0.9868043602983362,0.8611111111111112,0.9207920792079208,0.8899521531100479,0.8835027792428815
100,db4,2001,15,0.9862306368330465,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.8881292376112293
101,db4,1,20,0.9890992541594952,0.8888888888888888,0.898876404494382,0.8938547486033519,0.8881249492643448
